4210	4170	4180	3870	3940	4070																																														
1740	1980	1950	2010	2060	2020																																														
1810	1340	1280	1050	892	1020																																														
1040	986	964	1070	960	900																																														
3330	3050	3020	2900	3370	3860																																														
1640	1450	1710	1380	1900	1830																																														
1030	1010	980	1264	1099	1100																																														
980	937	872	660	780	880																																														
