1256	972	1024	1216	932	1012	3160	3370	2520																																											
524	468	532	460	299.6	356	703	187	385																																											
102.8	207.6	178.8	16.4	220.4	216.8	663	45	171																																											
7.6	8.8	1.6	2.8	47.2	6	47	43	24																																											
1110	1330	886	612	504	510	804	804	804																																											
139	642	392	322	401	245	562	562	562																																											
137	200	178	286	196	213	282	282	282																																											
238	154	303	211	228	264	247	247	247																																											
