16.64948	6120	6000	6080	6100	6110	6120	6090	6110	5960
184.21844	5620	1630	5900	5460	1670	5120	5630	5570	5310
197.57136	820	948	1100	4890	3710	887	3340	1560	805
123.621	5920	5480	6100	5920	5910	5940	5740	5700	5790
70.45008	3760	5890	4820	5360	5690	5300	5560	5630	5590
146.45616	197	1590	2190	2140	5300	5040	3200	3600	2600
197.64544	75	253	181	1070	4850	5390	3850	3750	4670
271.1328	0	0	0	0	20	0	0	0	0
221.20288	0	0	0	0	948	0	145	105	80
249.13104	0	0	0	0	0	0	0	0	0
265.59532	0	0	0	94	0	0	68.5	0	80
189.23736	344	306	58	75	0	238	165	91	0
107.7864	2670	2920	3000	5560	3010	5170	4780	5160	3560
185.9408	254	0	202	0	196	0	31	61	0
107.45304	6070	6030	5910	6000	6070	6080	6090	5760	6040
129.47332	1790	2900	766	865	3390	215	902	1690	195
241.70452	0	0	0	150	204	1500	61	234	44
179.42176	0	103	55	83	31	19	114	47	0
178.05128	843	2560	4790	767	1920	5250	3340	5410	3320
157.6978	1520	3490	2710	5250	5470	4900	4390	2610	1090
98.45232	4590	5670	4460	4510	3780	2350	4190	4870	3950
