42.568	17.046	42.554	17.042
42.568	17.159	42.554	17.042
42.52	17.158	42.554	17.042
42.519	17.109	42.554	17.042
42.483	17.027	42.554	17.042
42.478	17.129	42.554	17.042
42.427	17.138	42.554	17.042
42.417	17.041	42.554	17.042
42.425	16.994	42.554	17.042
42.476	16.899	42.554	17.042
42.472	16.988	42.554	17.042
42.509	16.975	42.554	17.042
42.51	16.88	42.554	17.042
42.555	16.869	42.554	17.042
42.551	16.936	42.554	17.042
42.594	16.958	42.554	17.042
42.596	16.905	42.554	17.042
42.682	17.008	42.554	17.042
42.655	17.048	42.554	17.042
42.651	17.11	42.554	17.042
42.608	17.123	42.554	17.042
42.611	17.072	42.554	17.042
42.639	16.976	42.554	17.042
