-37.852,2013-10-03 11:17:27.859000
-37.852,2013-10-03 11:17:27.968000
-63.433,2013-10-03 11:17:28.062000
-63.433,2013-10-03 11:17:28.171000
-35.219,2013-10-03 11:17:28.250000
-35.219,2013-10-03 11:17:28.375000
-63.954,2013-10-03 11:17:28.453000
-63.954,2013-10-03 11:17:28.625000
-40.795,2013-10-03 11:17:28.718000
-40.795,2013-10-03 11:17:28.843000
-63.589,2013-10-03 11:17:28.921000
-63.589,2013-10-03 11:17:29.031000
-63.589,2013-10-03 11:17:29.109000
-35.097,2013-10-03 11:17:29.187000
-35.097,2013-10-03 11:17:29.312000
-35.097,2013-10-03 11:17:29.375000
-62.476,2013-10-03 11:17:29.453000
-62.476,2013-10-03 11:17:29.578000
-32.819,2013-10-03 11:17:29.687000
-32.819,2013-10-03 11:17:29.812000
-32.819,2013-10-03 11:17:29.875000
-62.309,2013-10-03 11:17:29.953000
-62.309,2013-10-03 11:17:30.078000
-62.309,2013-10-03 11:17:30.140000
-38.572,2013-10-03 11:17:30.218000
-38.572,2013-10-03 11:17:30.343000
-38.572,2013-10-03 11:17:30.406000
-62.914,2013-10-03 11:17:30.484000
-62.914,2013-10-03 11:17:30.625000
-33.577,2013-10-03 11:17:30.781000
-33.577,2013-10-03 11:17:30.859000
-33.577,2013-10-03 11:17:30.921000
-64.145,2013-10-03 11:17:31
-64.145,2013-10-03 11:17:31.125000
-64.145,2013-10-03 11:17:31.203000
-33.922,2013-10-03 11:17:31.359000
-33.922,2013-10-03 11:17:31.406000
-33.922,2013-10-03 11:17:31.468000
-64.116,2013-10-03 11:17:31.562000
-64.116,2013-10-03 11:17:31.687000
-34.868,2013-10-03 11:17:31.796000
-34.868,2013-10-03 11:17:31.921000
-34.868,2013-10-03 11:17:31.984000
-63.522,2013-10-03 11:17:32.062000
-63.522,2013-10-03 11:17:32.187000
-33.912,2013-10-03 11:17:32.265000
-33.912,2013-10-03 11:17:32.390000
-33.912,2013-10-03 11:17:32.453000
-33.749,2013-10-03 11:17:32.531000
-33.749,2013-10-03 11:17:32.671000
-39.064,2013-10-03 11:17:32.750000
-39.064,2013-10-03 11:17:32.921000
-63.449,2013-10-03 11:17:33.015000
-63.449,2013-10-03 11:17:33.125000
-63.106,2013-10-03 11:17:33.203000
-63.106,2013-10-03 11:17:33.328000
-34.246,2013-10-03 11:17:33.406000
-34.246,2013-10-03 11:17:33.531000
-34.011,2013-10-03 11:17:33.593000
-34.011,2013-10-03 11:17:33.734000
-64.09,2013-10-03 11:17:33.906000
-64.09,2013-10-03 11:17:33.984000
-64.473,2013-10-03 11:17:34.062000
-64.473,2013-10-03 11:17:34.187000
-64.473,2013-10-03 11:17:34.250000
-64.017,2013-10-03 11:17:34.328000
-64.017,2013-10-03 11:17:34.453000
-64.017,2013-10-03 11:17:34.515000
-47.086,2013-10-03 11:17:34.593000
-47.086,2013-10-03 11:17:34.718000
-83.609,2013-10-03 11:17:34.796000
-83.609,2013-10-03 11:17:34.937000
-83.609,2013-10-03 11:17:35.015000
-63.088,2013-10-03 11:17:35.093000
-63.088,2013-10-03 11:17:35.218000
-65.149,2013-10-03 11:17:35.296000
-65.149,2013-10-03 11:17:35.437000
-36.76,2013-10-03 11:17:35.515000
-36.76,2013-10-03 11:17:35.640000
-63.812,2013-10-03 11:17:35.734000
-63.812,2013-10-03 11:17:35.859000
-65.164,2013-10-03 11:17:36.031000
-65.164,2013-10-03 11:17:36.109000
-58.474,2013-10-03 11:17:36.187000
